Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor,Producers (Full Name),Actors (Full Name),Directors (Full Name),Otherwise Involved (Full Name),Writer (Full Name),Camerawork (Full Name)
In the Depths of Our Hearts,,Drama,out (3).pdf (https://dl.airtable.com/8FC3hVfOSdikpEiW07RU_out%20(3).pdf),"Box 53, F28, George P. Johnson Collection.

Cedric Robinson notes that it is 6 reel film.
See ad: The Chicago Defender (Big Weekend Edition) (1905-1966), Oct 30, 1920. 5.",Royal Gardens Motion Picture Company,1920,,5,"Williams,Williams,Conn,DeLa Valade",,,,,"Blacks in Black and White,George P. Johnson Negro Film Collection,Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II",,,,,,"Virgil Williams, Agusta Williams, Irene Conn, Herman DeLa Valade",,,,
Nobody's Children,Our Christianity and Nobody's Children,Drama,"out (22).pdf (https://dl.airtable.com/ziEFhuLaTRKO87IpetxH_out%20(22).pdf),out (23).pdf (https://dl.airtable.com/qpyBdq8HRuCqapyuj177_out%20(23).pdf),out (24).pdf (https://dl.airtable.com/fWO1uERURCmgyKZbjmms_out%20(24).pdf)","GPJ Box 53, F28.

""NEW FILM CO."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jul 24, 1920.

""Display Ad 23 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Aug 07, 1920.",Maurice Film Company,1920,1920,6,"Maurice,Farmer,Griffin,Green,Maurice,Nelson",,,,,George P. Johnson Negro Film Collection,,,https://www.umbrasearch.org/catalog/d42acbf5b5354ab5c4211d749a30f7614a36b598,,,"Richard Danal Maurice, Jacque Farmer, Alex Griffin, Joe Green, Richard Maurice, Howard Nelson",,,,
Pythian Parade and 19th Biannual Encampment,,Actuality,ProQuestDocuments-2016-06-05 (13).pdf (https://dl.airtable.com/y4TRcBadR7SPjgmj0Sl8_ProQuestDocuments-2016-06-05%20(13).pdf),"J.A. JACKSON'S PAGE: HOW COME? The Billboard (Archive: 1894-1960), Oct 15, 1921. 43",Charles H. Turpin,1920,,,,,Turpin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Topeka Film Company,Charles H. Turpin,,,,,
Reformation,,,,"Sampson gives the production company as Democracy, Cripps as Dones. --MP",Democracy Photoplay Corporation,1920,1920,5,Dones,,,,,"Slow Fade to Black,Blacks in Black and White",,,,Bookertee Film Company,,Sidney P. Dones,,,,
The Brute,"The Brute: The Story of a Gambler, Mr. Bull Magee","Drama,Boxing",out (17).pdf (https://dl.airtable.com/6NAvmHfT1y50lW3SB17C_out%20(17).pdf),"Verification: ""THE BRUTE"". (1920, Jan 03). The Chicago Defender (Big Weekend Edition) (1905-1966) Retrieved from http://search.proquest.com/docview/493406250?accountid=14512��",Micheaux Film Corporation,1920,8/1/1920,,"Preer,DeComathiere,Langford,Criner,Sutton,Chenault,Gorgas,Cutler,Tatum,Bowman,Edwards,Williams,Clements,Schooler,Plater,Gaines",Micheaux,Micheaux,,,"American Film Institute Catalog,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,,,Oscar Micheaux,"Evelyn Preer, A.B. DeComathiere, Sam Langford, J. Lawrence Criner, Susie Sutton, Lawrence Chenault, Alice Gorgas, Marty Cutler, E.G. Tatum, Laura Bowman, Mattie Edwards, Virgil Williams, Flo Clements, Lewis Schooler, Henry Plater, Al Gaines",Oscar Micheaux,,,
The Symbol of the Unconquered,The Wilderness Trail,Drama,The_New_York_Age_Sat__Jan_1__1921_.pdf (https://dl.airtable.com/ege3rCYKRnWJ70K1PYi3_The_New_York_Age_Sat__Jan_1__1921_.pdf),"Full cast list from Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). Originally 8 reels; shortened to 7 reels due to censors' requests. --MP

The New York Age (New York, New York), Sat, Jan 1, 1921, Page 6",Micheaux Film Corporation,1920,1920,8,"Hall,Thompson,Chenault,Catlin,King,Burris,Wilkes,Tatum,Whipper,Burroughs,Fraction,Loach",Micheaux,Micheaux,,,"Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Oscar Micheaux and His Circle,Blacks in Black and White",Micheaux,,,,Oscar Micheaux,"Iris Hall, Walker Thompson, Lawrence Chenault, George Catlin, Edward E. King, Jim Burris, Mattie V. Wilkes, E.G. Tatum, Leigh Whipper, James Burroughs, Edward Fraction, Lena Loach",Oscar Micheaux,,Oscar Micheaux,
A Child in Pawn,,,out (27).pdf (https://dl.airtable.com/dg9ATQlFTn6WQjLg1scQ_out%20(27).pdf),"""Display Ad 7 -- no Title."" Afro-American (1893-1988), Aug 26, 1921. Describes ""all-colored cast.""",D.W.D. Film Corporation,1921,1921,5,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
A Fool's Paradise,A Fool's Promise,Drama,out (30).pdf (https://dl.airtable.com/blj81viQQMCVKfTbZBd7_out%20(30).pdf),"There appear to be multiple films by this title. GPJ mentions a 1921 film by this name produced by the White Film Corporation, but I was only able to find the 1921 Paramount Pictures film of this title: """"FOOL'S PARADISE""."" The Chicago Defender (National Edition) (1921-1967), Apr 29, 1922. --MP

",White Film Corporation,1921,,5,,,,,,"Blacks in Black and White,George P. Johnson Negro Film Collection",,,,,,,,,,
A Ghost Hunt,,,,,White Film Corporation,1921,,2,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
A Giant of His Race,,Drama,out (49).pdf (https://dl.airtable.com/QAbo9m7zQgiwCYagXriU_out%20(49).pdf),"""Display Ad 4 -- no Title."" Afro-American (1893-1988), Oct 07, 1921.",North State,1921,1921,,"Garbutt,Harritage,Fox,Pillups",,,Kirby,,"Slow Fade to Black,Blacks in Black and White",,,,,,"Wanda Garbutt, C. Harritage, Harry Fox, P. Pillups",,,,Frank Kirby
A Modern Cain,,Drama,"out(6).pdf (https://dl.airtable.com/gOaZnVdvT1S1GUVqRsGz_out(6).pdf),out(7).pdf (https://dl.airtable.com/p4ljQt40Qnm69xO7D8ft_out(7).pdf)","The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 26 Nov 1921: 7; 
The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 12 Nov 1921: 6. -MC",Fife Production Company,1921,,6,"Ward,Williams,Harris,Carrols,Williams,Young,Mason,Everett",,,,,"Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Comet Film Exchange,,"Norman Ward, Theodore Williams, Harriet Harris, Vivian Carrols, Fred Williams, Z.V Young, Youth Mason, Munzell Everett",,,,
A Regeneration of Souls,,Drama,out (24).pdf (https://dl.airtable.com/3uOBO6xQR9i8NvfxVUcY_out%20(24).pdf),"Richards gives the production company as Whilco, while D. Ireland Thomas gives it as Leigh Whipper in D. Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), May 20, 1922. 

","Whilco Film Corporation,Leigh Whipper Film Company",1921,,,"Jones,Nolan",Whipper,Whipper,,out (24).pdf (https://dl.airtable.com/ItL1ZJ1QXau9z65Gica0_out%20(24).pdf),"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Leigh Whipper,"Lila Walker Jones, Kid Nolan",Leigh Whipper,,,
As the World Rolls On,"The Heart of Jack Johnson, As the World Turns",Drama,"clipping_5213051.pdf (https://dl.airtable.com/yAHEm0VPTJyZEJqUFcls_clipping_5213051.pdf),out (51).pdf (https://dl.airtable.com/kagNuvP3Qsun0wO5yDSo_out%20(51).pdf)","Verification:  The Appeal
(Saint Paul, Minnesota)
11 Feb 1922,  Page 4 - MC

See also ""Display Ad 24 -- no Title."" The Chicago Defender (National Edition) (1921-1967), Nov 12, 1921.",Andlauer Production Company,1921,1921,7,"Johnson,Thompson,Thomas,Simpson,Rice,Crawford",,,Andlauer ,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White",,,,,,"Jack Johnson, Blanche Thompson, Reed Thomas, Walter Simpson, Versia Rice, Sam Crawford",,,,W.A. Andlauer 
Blind Wives,,,"clipping_5211139.pdf (https://dl.airtable.com/syf9ImYDQL2D8LSGjLZj_clipping_5211139.pdf),out (2).pdf (https://dl.airtable.com/CKUoR9rTqONPX3oIOcxg_out%20(2).pdf)","Verification: Box 50, folder 3, The Houston Informer, APril 22, 1921

BLIND WIVES. (1921, May 07). The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491880266?accountid=14512��- SN

The Charleston Daily Mail (Charleston, West Virginia), Thu, Jul 27, 1922, Page 5",,1921,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
By Right of Birth,,,out (6).pdf (https://dl.airtable.com/Lf5qaoocQ5ytrB7ls0ri_out%20(6).pdf),"Verification: BY RIGHT OF BIRTH. (1921, Sep 24). The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491917343?accountid=14512 - SN",Lincoln Motion Picture Company,1921,1921,6,"Brooks,Thompson,King,Bates,Meehan,Ellenwood,Kinbrough,Childers,George,Prevost,Bates,Mitchell",,,Gant,clipping_5171305.pdf (https://dl.airtable.com/HfKpU17SsaWxMuJ5ZXU2_clipping_5171305.pdf),"Richard E. Norman and Race Filmmaking,Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Johnson,,,,,"Clarence Brooks, Anita Thompson, Webb King, Lester Bates, Lew Meehan, Grace Ellenwood, Baby Ruth Kinbrough, Helen Childers, Beatrice George, Minnie Prevost, Leo Bates, Dora Mitchell",,,George Johnson,Harry Gant
Darktown Affair,Darktown Affairs,,"Darktown_Affairs (1).pdf (https://dl.airtable.com/StFCbGqMQyqE3HgXUIDB_Darktown_Affairs%20(1).pdf),Darktown_Affairs.pdf (https://dl.airtable.com/BsJqENxVTgOkY1FSRUQd_Darktown_Affairs.pdf)","Verified: The Brooklyn Daily Eagle
Brooklyn, New York
Tue, Apr 23, 1929 ' Page 38

Brooklyn Life and Activities of Long Island Society
Brooklyn, New York
Sat, Apr 20, 1929 ' Page 16
",Mt. Olympus Distributing Co.,1921,1921,1,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,,,,,,
Deceit,,Drama,clipping_5267381.pdf (https://dl.airtable.com/y9HjwgcRl2OufEnFnmq6_clipping_5267381.pdf),"The Pittsburgh Courier (Pittsburgh, Pennsylvania) 2 Jul 1927, Sat ' Page 15",Micheaux Film Corporation,1921,1921,,"Preer,Desmond,DeComathiere,Lucas,Johnstone,Young,Watkins,De Bulger,Watkins,Miller,McGowan,Schooler,Brown,Carey,Miles,Brown,Coldwell,Sandifer,Billings,Dixon,Galezio,Peterson,Carey,Henry,Anderson",Micheaux,Micheaux,,,Richard E. Norman and Race Filmmaking,Chesnutt,,,,Oscar Micheaux,"Evelyn Preer, Cleo Desmond, A.B. DeComathiere, George Lucas, Norman Johnstone, Mabel Young, Mary Watkins, Louis De Bulger, Cornelious Watkins, Mrs. Irvin C. Miller, Ira O. McGowan, Lewis Schooler, Jerry Brown, James Carey, Viola Miles, N. Brown, J. Coldwell, F. Sandifer, Jesse R. Billings, Allen D. Dixon, Leonard Galezio, William Peterson, Sadie Carey, Milton Henry, Ida Anderson",Oscar Micheaux,,Charles Chesnutt,
Foolish Lives,,"Drama,Comedy",,Unable to Verify,Young Producers Filming Corporation,1921,1921,,"Chatman,Harris,Carter,Cox,Patterson,Patton",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Frank Chatman, Henry Harris, Frank Carter, Jewel Cox, Marguerite Patterson, Jonella Patton",,,,
For His Mother's Sake,,"Drama,Boxing",out (2).pdf (https://dl.airtable.com/AFEvCW7wRTmTSsK5AtAI_out%20(2).pdf),"Box 4, Blackburn Velde Productions Folder, GPJ Collection. Afro-American (1893-1988)",Blackburn Velde Productions,1921,1921,5,"Johnson,Joyce,Wilkes,Walker",,,,,"George P. Johnson Negro Film Collection,Blacks in Black and White",,,,The Fidelity Pictures,,"Jack Johnson, Andrian Joyce, Mattie V. Wilkes, Ruth Walker",,,,
From Darkness to Light,,,out (9).pdf (https://dl.airtable.com/T83KX5bbQtqR4XgBHb1Y_out%20(9).pdf),Display Ad 11 -- no Title. ,,1921,,,,,,,,,,,,,,,,,,
Hearts of the Woods,,Drama,out (43).pdf (https://dl.airtable.com/bZmo5Lz7SuSuh0LdxWkA_out%20(43).pdf),"""CAREY ""Hearts of the Woods""."" Afro-American (1893-1988), Jun 02, 1922.",Superior Arts Motion Picture Company,1921,1922,,"Harris,McGuire,Pierson,Allen,Gibson",Calnek,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Clifford Harris, Lawrence McGuire, Don Pierson, Anna Lou Allen, Mae Gibson",Roy Calnek,,,
Peacock News Reel #1,,Newsreel,out (1).pdf (https://dl.airtable.com/sobx3pS5RTuqLXIJqZxQ_out%20(1).pdf),"D, IRELAND THOMAS. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Dec 16, 1922, 7.",Peacock Photoplay Company,1921,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
People of Atlanta Ga.,,Actuality,out (28).pdf (https://dl.airtable.com/afd2WKzCQGm8mas6Fd1S_out%20(28).pdf),"""Display Ad 18 -- no Title."" The Chicago Defender (National Edition) (1921-1967), Jul 16, 1921.",Pyramid Picture Corporation,1921,1921,,,,,,,,,,,,,,,,,
Renissance Newsreel,,Newsreel,,,Leigh Whipper Film Company,1921,,,,Whipper,Whipper,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Leigh Whipper,,Leigh Whipper,,,
Return of Black Hawk,,,out (25).pdf (https://dl.airtable.com/AuTt82hCQpq7IQGPgU91_out%20(25).pdf),"No record of release.

""MAURICE FILMS."" The Chicago Defender (National Edition) (1921-1967), Apr 09, 1921. --MP",Maurice Film Company,1921,,,,Maurice,Maurice,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Richard Danal Maurice,,Richard Danal Maurice,,,
Seeing Kansas City in Action,,Actuality,,Unable to verify-MC,St. Paul Presbyterian Church,1921,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Shuffling Jane,,,ProQuestDocuments-2016-06-05 (15).pdf (https://dl.airtable.com/IE9mBEmQnWH0QYhrinYB_ProQuestDocuments-2016-06-05%20(15).pdf),"J.A.JACKSON'S PAGE: TROPICAL PHOTOPLAY COMPANY. The Billboard (Archive: 1894-1960), Dec 17, 1921. 47.",Tropical Photoplay Company,1921,,,Boyer,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,Elizabeth Boyer,,,,
The $10000 Trail,The Ten Thousand Dollar Trail,Western,out (12).pdf (https://dl.airtable.com/UdjNW5zCRmfi78zFee5h_out%20(12).pdf),"Verification: Ragtime, B. T. (1921, Sep 24). COAST DOPE. The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491916253?accountid=14512

Box 4, Bookertee Film Exchange folder, GPJ Collection --MP",Bookertee Film Company,1921,1921,2,"Dones,Rowland,Dumont,Henderson,Ross,Herman,Teal,Faltenburg,Patrick,Smith,Crockett,Dennis",,Dones,,,"George P. Johnson Negro Film Collection,Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Mitchell,,,E.L. Cummings,Sidney P. Dones,"Sidney P. Dones, Nina Rowland, Dorothy Dumont, Frances Henderson, Clinton Ross, Kid Herman, Joel Teal, Master Henry Faltenburg, E. Patrick, Henry Smith, J. Crockett, E.M. Dennis",,,Dolores L.  Mitchell,
The Avenging Arrow,,,out (13).pdf (https://dl.airtable.com/S9uHgoKyTay87dGAwTdL_out%20(13).pdf),"Verification: Display ad 12 -- no title. (1921, Jul 15). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530438185?accountid=14512

��Box 50, folder 3, The Houston Informer, APril 22, 1921",,1921,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
The Bull-Dogger,The Bull Doggers,Western,out (18).pdf (https://dl.airtable.com/ksnX6WQRBa0CPHkQRRjY_out%20(18).pdf),"Verification: Reed, C. (1983, Mar 17). The history of blacks in american film (part II). Los Angeles Sentinel (1934-2005) Retrieved from http://search.proquest.com/docview/565501220?accountid=14512

Richards gives release date as 1923; Bowser et al. gives date as 1921.",Norman Film Manufacturing Company,1921,1921,5,"Bush,Chenault,Reynolds,Turpin,Pickett,Larkin,Haddon,Lucas",Norman,Norman,,,"Oscar Micheaux and His Circle,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Richard E. Norman,"Anita Bush, Lawrence Chenault, Steve Reynolds, Bennie Turpin, Bill Pickett, George Larkin, Pete Haddon, Buck Lucas",Richard E. Norman,,,
The Charge of the Black Brigade,,Actuality,,Unable to Verify - SN,,1921,1921,4,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Confession,,Drama,out (22).pdf (https://dl.airtable.com/75zCrO8RymivkNQkpTJg_out%20(22).pdf),"Verification: ""The confession"" goes great at avenue; ""follies and fancies"" still packing grand. (1920, Apr 03). The Chicago Defender (Big Weekend Edition) (1905-1966) Retrieved from http://search.proquest.com/docview/493402738?accountid=14512

Box 50, folder 3, The Houston Informer, APril 22, 1921��",,1921,,,Walthall,,,,,George P. Johnson Negro Film Collection,,,,,,Henry B. Walthall,,,,
The Crimson Skull,The Scarlet Claw,Western,out (25).pdf (https://dl.airtable.com/YFfV7spZRYOZSCmAJUMM_out%20(25).pdf),"Verification: ""THE CRIMSON SKULL"". (1922, Apr 21). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530544178?accountid=14512
��
There were two versions. 7-reel version released in 1921; 6-reel version released 1922.

Race Film reference: ""...featuring all-colored cast..""
image from: http://www.normanstudios.org/norman-films-stars/norman-players/

",Norman Film Manufacturing Company,1921,1922,7,"Bush,Chenault,Pickett,Larkin,Haddon,Reynolds",Norman,Norman,,crimson-skull-6.jpg (https://dl.airtable.com/EtvqfQmR4Ww6zSYMGq3L_crimson-skull-6.jpg),"Oscar Micheaux and His Circle,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II",,,http://dlg.galileo.usg.edu/douglass/dbr045.php,,Richard E. Norman,"Anita Bush, Lawrence Chenault, Bill Pickett, George Larkin, Pete Haddon, Steve Reynolds",Richard E. Norman,,,
The Custard Nine,,Comedy,out (26).pdf (https://dl.airtable.com/eCOQ3TR8TkiqVsWQjUzK_out%20(26).pdf),"Verification: DICKSON FILM. (1921, May 21). The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491889194?accountid=14512
��
Full cast list from Richards. --MP, produced at Perry studio N.Y. 

",Harris Dickson Film Company,1921,1921,2,"Muse,Custard,Criddle,Jenkins,Fletcher,Tatum",Haywood,,,,"Richard E. Norman and Race Filmmaking,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,Path��,,"Clarence Muse, Virgil Custard, Baltimore Criddle, Wesley Jenkins, Tom Fletcher, E.G. Tatum",Ginn Haywood,,,
The Disappearance of Mary Jane,,Comedy,out (19).pdf (https://dl.airtable.com/SXZGcPfzSteo4z7vpUVi_out%20(19).pdf),"D. IRELAND THOMAS. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Feb 02, 1924. ",Acme Film Distribution Corporation,1921,1921,2,Cox,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Acme Film Distribution Corporation,,Jimmie Cox,,,,
The Green Eyed Monster,,"Comedy,Drama",out (13).pdf (https://dl.airtable.com/4cTOndEMTRTUHgWMKBLg_out%20(13).pdf),"Box 53, F28, GPJ Collection.

Discrepancy: Sampson (p.105) gives the production date as 1921, while Johnson gives the production date as 1919. Contemporary newspapers show that the film was distributed in 1921. --MP

""'THE GREEN EYED MONSTER'."" The Chicago Defender (National Edition) (1921-1967), Jul 09, 1921.",Norman Film Manufacturing Company,1921,,8,"Dunbar,Austin",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,,"Louise Dunbar, Jack Austin",,,,
The Gunsaulus Mystery,"Circumstantial Evidence, The Gonzales Mystery, The Gonzalas Mystery",Drama,,"Full cast list from  Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP

See also GPJ Collection, Box 17, Gunsaulus Mystery folder. --MP",Micheaux Film Corporation,1921,1921,7,"Preer,Chenault,Wilkes,Abrams,De Bulger,Bearden,Williams,Brown,Watts,Tatum,Young,Christian,Sindle,Russell,Kroll",Micheaux,Micheaux,,,"Redefining Black Film,Oscar Micheaux and His Circle,George P. Johnson Negro Film Collection",Micheaux,,,,Oscar Micheaux,"Evelyn Preer, Lawrence Chenault, Mattie V. Wilkes, Ed Abrams, Louis De Bulger, Bessye Bearden, Ethel Williams, Edward Brown, Ethel Watts, E.G. Tatum, Mabel Young, Hattie Christian, W.D. Sindle, George Russell, Alex Kroll",Oscar Micheaux,,Oscar Micheaux,
The Jazz Hounds,The Jazz Fool,Comedy,,,Reol Productions Corporation,1921,1921,2,Morton,,,,"""""""The jazz hounds"""" - NYPL Digital Collections.pdf (https://dl.airtable.com/ziKln1SZqCvoSK5amRnA_%22The%20jazz%20hounds%22%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""" 2 - NYPL Digital Collections.pdf (https://dl.airtable.com/p9mtqkHXTr6XMvcep4YV_%22The%20jazz%20hounds%22%202%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds""""3 - NYPL Digital Collections.pdf (https://dl.airtable.com/kHty30XRJKp5H12PjNL5_%22The%20jazz%20hounds%223%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/kzIfPxVcRUWGDqkcn4pc_%22The%20jazz%20hounds%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""" 5 - NYPL Digital Collections.pdf (https://dl.airtable.com/7bAhspNBS1yexcAuh08h_%22The%20jazz%20hounds%22%205%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/DbDQaUyR26u4iHvvptjW_%22The%20jazz%20hounds%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The jazz hounds"""" 7- NYPL Digital Collections.pdf (https://dl.airtable.com/cicQwRqnRMueQcODckFL_%22The%20jazz%20hounds%22%207-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,http://digitalcollections.nypl.org/items/510d47df-fb5f-a3d9-e040-e00a18064a99,,,Edna Morton,,,,
The Man from Texas,,,,"In Ben Roy Productions folder, box 3, GPJ collection -- MP",Ben Roy Productions,1921,1921,5,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
The Matchless Key,,,out (32).pdf (https://dl.airtable.com/Vf2DtIfbQ0ek9G06SeAL_out%20(32).pdf),"Serial. See ""Display Ad 5 -- no Title."" Afro-American (1893-1988), Apr 22, 1921. --MP",White Film Corporation,1921,1921,,,,,,,,,,,,,,,,,
The Secret Sorrow,Secret Sorrow,Drama,"out (13).pdf (https://dl.airtable.com/7g8qfSyiQIe5Qiy8jLFQ_out%20(13).pdf),out (14).pdf (https://dl.airtable.com/ZGv7fy4QQb2G8oRl7NEf_out%20(14).pdf)",,Reol Productions Corporation,1921,10/1/1921,6,"Morton,Verwayen,Chenault,Brown,Clough,Woodson,Pleasants,Anderson",,,,"""""""The secret sorrow"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/yoPRfKTRTPG6YsIt5Imk_%22The%20secret%20sorrow%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow"""" 1- NYPL Digital Collections.pdf (https://dl.airtable.com/Tm2QUH6ARG2N5p6wZp86_%22The%20secret%20sorrow%22%201-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow""""2 - NYPL Digital Collections.pdf (https://dl.airtable.com/y3lbTO3OTIugsuAVg2pK_%22The%20secret%20sorrow%222%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow""""4 - NYPL Digital Collections.pdf (https://dl.airtable.com/YrBrRCdITK8zQWgjq19Q_%22The%20secret%20sorrow%224%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow""""5  - NYPL Digital Collections.pdf (https://dl.airtable.com/ieCVA0p9R8WI6koB3CTb_%22The%20secret%20sorrow%225%20%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The secret sorrow""""6 - NYPL Digital Collections.pdf (https://dl.airtable.com/vYTVYAUsSSKa3yZvCFMP_%22The%20secret%20sorrow%226%20-%20NYPL%20Digital%20Collections.pdf)""","Richard E. Norman and Race Filmmaking,""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",Blacks in Black and White",Brown,,http://digitalcollections.nypl.org/items/510d47df-fb76-a3d9-e040-e00a18064a99,,,"Edna Morton, Percy Verwayen, Lawrence Chenault, George Edward Brown, Inez Clough, J. H. Woodson, Henry Pleasants, Ida Anderson",,,J.C. Brown,
The Southern Negro Baptism,,Newsreel,ProQuestDocuments-2016-06-05 (10).pdf (https://dl.airtable.com/xg8gOQD8Q3mrC0PTFS0Q_ProQuestDocuments-2016-06-05%20(10).pdf),"See ""J.A. JACKSON'S PAGE: ARROW MUSIC PUB. CO., INC."" The Billboard (Archive: 1894-1960) 33, no. 26 (Jun 18, 1921): 45.",Dunbar Film and Theatrical Co.,1921,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
