LN,FN,Full name,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Theatrical Company Assoc. With,Films
Johnson,John Lester,John Lester Johnson,,,,,,"Square Joe,The Flames of Wrath",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Johnson,Ralph,Ralph Johnson,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Johnson,Eva,Eva Johnson,,,,,,A Man's Duty,,,,,,,,
Johnson,Dora Jean,Dora Jean Johnson,,,,,,Georgia Rose,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Johnson ,Rosamund,Rosamund Johnson ,,,,Choral arrangements with W.C. Handy,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",St. Louis Blues,,,
Johnstone,Norman,Norman Johnstone,,,,,,"Deceit,The Scar of Shame",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Jones,Henry,Henry Jones,"Henry ""Teenan"" Jones",,,Financed Foster Photoplay Co. in 1916 (per Field 2016),,,,,,,,Foster Photoplay Company,,
Jones,Peter P.,Peter P. Jones,,,,,,,"The Slacker,The Troubles of Sambo and Dinah,Colored Soldiers Fighting in Mexico,The Dawn of Truth,Progress of the Negro,Re-Birth of a Nation","The Troubles of Sambo and Dinah,The Slacker,Colored Soldiers Fighting in Mexico,The Dawn of Truth,Progress of the Negro,Re-Birth of a Nation","For the Honor of the 8th Ill. U.S.A.,The Dawn of Truth,Negro Soldiers Fighting for Uncle Sam,The Troubles of Sambo and Dinah,The Slacker",The Ambitions of William Foster,,Peter P. Jones Photoplay Ltd.,,
Jones,Wesley,Wesley Jones,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Jones,Maud,Maud Jones,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Jones,Clayburn,Clayburn Jones,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Jones,Lila Walker,Lila Walker Jones,,,,,,A Regeneration of Souls,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Jones,Solomon Sir,Solomon Sir Jones,,1869,1936,"Finding Aid for Solomon Sir Jones Films and Streaming Video at: http://beinecke.library.yale.edu/collections/highlights/solomon-sir-jones-films-1924-1928

",,,,,,Solomon Sir Jones Films Collection,,,,
Jordan,Sam,Sam Jordan,,,,,,The Flying Ace,,,,Oscar Micheaux and His Circle,,,,
Joyce,Andrian,Andrian Joyce,,,,,,For His Mother's Sake,,,,Blacks in Black and White,,,,
Joynes,Elvin,Elvin Joynes,,,,,,The Barber,,,,The Ambitions of William Foster,,,,
Junior,Yvonne,Yvonne Junior,,,,,,"The Janitor,Ghosts,The Comeback of Barnacle Bill",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,,
Kalana,Thias Nehli,Thias Nehli Kalana,,,,,,Loyal Hearts,,,,Blacks in Black and White,,,,
Kelly,Howard,Howard Kelly,,,,,,The Barber,,,,The Ambitions of William Foster,,,,
Kelly,Mabel,Mabel Kelly,,,,,,"Thirty Years Later,The Midnight Ace",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Kelly,Robert A.,Robert A. Kelly,,,,,,Lovie Joe's Romance,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Kelson,Anna,Anna Kelson,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Kemp,Mae,Mae Kemp,,,,,,The Call of His People,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Kennedy,Ann,Ann Kennedy,Annie Kennedy,,,"Mentioned in Musser's CPFC filmography in Bowser et al., 283. --MP",,The Scar of Shame,,,,Oscar Micheaux and His Circle,,,,
Kinbrough,Baby Ruth,Baby Ruth Kinbrough,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
King,Webb,Webb King,,,,,,"By Right of Birth,A Man's Duty,Georgia Rose",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
King,F.,F. King,,,,,,The Colored American Winning His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
King,Edward E.,Edward E. King,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,,
Kirby,Frank,Frank Kirby,,,,"Winston-Salem Journal (Winston-Salem, North Carolina) �� Sun, May 15, 1921 �� Page 21",,,,,A Giant of His Race,,,,,
Kroll,Alex,Alex Kroll,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,,
La Rue,John,John La Rue,,,,,,Reckless Money,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ladd,Bernice,Bernice Ladd,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Lane,Sammie,Sammie Lane,,,,,,Eleven P.M.,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Langford,Sam,Sam Langford,,3/4/1883,1/12/1956,,,"The Brute,Haynes Newsreel No. 1,Haynes Newsreel No. 3",,,,,,,,
Larkin,George,George Larkin,,,,,,"The Bull-Dogger,The Crimson Skull",,,,Oscar Micheaux and His Circle,,,,
Lawson,Fighting Bob,Fighting Bob Lawson,,,,,,The Fighting Deacon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Lee,Will,Will Lee,,,,,,"Smiling Hate,Steppin' High",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Lee,Johnny,Johnny Lee,,,,,,St. Louis Blues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Leighton,Fred,Fred Leighton,,,,,,The Colored American Winning His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Lemonier,Tom,Tom Lemonier,,,,"Appeared in The Troubles of Sambo and Dinah: ""THE STATES."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jun 20, 1914",,The Troubles of Sambo and Dinah,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Levy,Robert,Robert Levy,,,,,,,"The Schemers,Easy Money,The Simp,Ties of Blood,The Leader of His Race ,Eyes of Youth","The Sport of the Gods,Ties of Blood,Eyes of Youth,The Leader of His Race ",,Richard E. Norman and Race Filmmaking,,Reol Productions Corporation,,
Lewin,George,George Lewin,,,,,,The Janitor,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,,
Lewis,Edgar,Edgar Lewis,,,,,,,,The Bar Sinister,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Lewis,Warren,Warren Lewis,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Lewis,Mae,Mae Lewis,,,,,,The Greatest Sin,,,,Blacks in Black and White,,,,
Ligouri,Al,Al Ligouri,,,,,,,,,The Scar of Shame,Slow Fade to Black,,,,
Lillison,Edgar,Edgar Lillison,Edgar Lillerson,,,"Field: ""In The Railroad Porter,
Figure 3.1 Juli Jones, Jr./William Foster (Half-Century, June 1919).
56 Allyson Nadia Field
the wife is seduced by the waiter, ���a fashionably dressed chap��� who is masquerading
as the proprietor of the Elite Caf��.8 The waiter, however, was
played by Edgar Lillison, who was in fact the proprietor of the Elite Caf��.9"" (55-56)
",,"The Railroad Porter,The Barber",,,,The Ambitions of William Foster,,,,
Lincoln,Rosa Lee,Rosa Lee Lincoln,,,,,,Absent,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Loach,Lena,Lena Loach,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,,
Lochart,Ida,Ida Lochart,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Long,Walter,Walter Long,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,"The Devil's Match,His Great Chance,A Shot in the Night",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
Loveless,Henrietta,Henrietta Loveless,Henrietta Lovelass,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,,
Lucas,Buck,Buck Lucas,,,,,,The Bull-Dogger,,,,Oscar Micheaux and His Circle,,,,
Lucas,Charles D.,Charles D. Lucas,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,"Within Our Gates,The Homesteader",,,,"Slow Fade to Black,Oscar Micheaux and His Circle",,,,
Lucas,George,George Lucas,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Luquet,Andre,Andre Luquet,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Lyles,Aubrey,Aubrey Lyles,,,,,,"Harlem Knights,Harlem Mania",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Mabel,Homes,Homes Mabel,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
MacCullough,Jack,Jack MacCullough,,,,,,,Do the Dead Talk?,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Mahon,Carl,Carl Mahon,,2/2/1906,9/12/1992,,,The Exile,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Major,Cincinattus,Cincinattus Major,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.) as involved in traveling publicity for Micheaux. --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,Micheaux Film Corporation,,
Mankins,Roxie,Roxie Mankins,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Marshall,John,John Marshall,Colonel John R. Marshall,,,"Associated with Anderson-Watkins and identified as director of A Day at Tuskegee. See Field, pp. 104-105.",,"Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,YMCA Dedication",A Day at Tuskegee,,,"The Ambitions of William Foster,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity",,Anderson-Watkins Film Exhibition Company,,
Marshall,Jimmy,Jimmy Marshall,,,,,,Aladdin Jones,,,,,,,,
Marshall ,Matt,Matt Marshall ,,,,"Appeared in Sambo and Dinah: ""THE STATES."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jun 20, 1914",,The Troubles of Sambo and Dinah,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Martin,Daisy,Daisy Martin,,,,,,Spitfire,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Mason,Ruby,Ruby Mason,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Mason,Julia,Julia Mason,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,Ghosts,Good Luck in Old Clothes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Mason,Youth,Youth Mason,,,,,,A Modern Cain,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Massey,P.,P. Massey,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Maurice,Richard Danal,Richard Danal Maurice,,,,"Appearance in Nobody's Children verified in ""Display Ad 20 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Aug 21, 1920",,"Eleven P.M.,Nobody's Children","Eleven P.M.,Return of Black Hawk","Eleven P.M.,Return of Black Hawk",,,,,,
Maurice,Richard,Richard Maurice,,,,,,Nobody's Children,,,,Blacks in Black and White,,,,
Maxwell,M.C.,M.C. Maxwell,,,,,,Regeneration,,,,Oscar Micheaux and His Circle,,,,
Mayo,Stella,Stella Mayo,,,,,,Regeneration,,,,Oscar Micheaux and His Circle,,,,
Mays-Sibil,Betti,Betti Mays-Sibil,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
McCalla,Vernon,Vernon McCalla,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
McClain,Florence,Florence McClain,,,,,,Aladdin Jones,,,,,,,,
McCormack,Pearl,Pearl McCormack,,,,"Listed in Musser's filmography in Bowsert et al., 283. --MP",,The Scar of Shame,,,,Oscar Micheaux and His Circle,,,,
McFall,S.B.,S.B. McFall,,,,"Cameraman, Eagle Film Company AND also sec-treasurer & director of McFall Film Production Co., per Sampson (77). --MP

J.A. JACKSON'S PAGE: TO PRODUCE PICTURES. (1922, Aug 19). The Billboard (Archive: 1894-1960), 34, 85.",ProQuestDocuments-2016-06-06 (1).pdf (https://dl.airtable.com/fsDFODlwSBOvK4pqJuYA_ProQuestDocuments-2016-06-06%20(1).pdf),,,,,Blacks in Black and White,,"Eagle Film Company,McFall Film Production Company",,
McGarr,, McGarr,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
McGowan,Ira O.,Ira O. McGowan,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
McGuire,Lawrence,Lawrence McGuire,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
McKinney,Catatin T.N.,Catatin T.N. McKinney,,,,"A ""Los Angeles businessman,"" president of Democracy (Sampson 60).",,,,,,Blacks in Black and White,,Democracy Photoplay Corporation,,
McKinney,Nina Mae,Nina Mae McKinney,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
McLane,Lorenzo,Lorenzo McLane,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,,
Meehan,Lew,Lew Meehan,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Michaels,Daniel,Daniel Michaels,,,,,,,,Love and Undertakers,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Micheaux,Oscar,Oscar Micheaux,,1884,,,,,"The Wages of Sin,The Gunsaulus Mystery,The Brute,Easy Street,When Men Betray,Uncle Jasper's Will,Thirty Years Later,Birthright,Body and Soul,The Broken Violin,The Conjure Woman,A Daughter of the Congo,Deceit,The Devil's Disciple,The Dungeon,The Homesteader,Within Our Gates,The Symbol of the Unconquered,The Virgin of Seminole,A Son of Satan,The House Behind the Cedars,Marcus Garland,Spider's Web,The Exile","The Wages of Sin,The Millionaire,The Brute,When Men Betray,Uncle Jasper's Will,Thirty Years Later,Birthright,Body and Soul,The Broken Violin,The Conjure Woman,Deceit,The Devil's Disciple,The Dungeon,The Homesteader,Within Our Gates,The Symbol of the Unconquered,The Virgin of Seminole,A Son of Satan,The House Behind the Cedars,Marcus Garland,Spider's Web,The Midnight Ace,The Gunsaulus Mystery",,,"The Homesteader,The Broken Violin,The Dungeon,Within Our Gates,The Symbol of the Unconquered,The Virgin of Seminole,Birthright,A Son of Satan,The House Behind the Cedars,The Devil's Disciple,The Conjure Woman,The Millionaire,Thirty Years Later,When Men Betray,Easy Street,Marcus Garland,Spider's Web,The Gunsaulus Mystery",Micheaux Film Corporation,,
Micheaux,Swan,Swan Micheaux,,,,"Brother of Oscar, manager of Micheaux Film Corp until March 1, 1927.

Thereafter booking Manager of Dunbar Film Corp (Sampson 62). --MP",,,The Midnight Ace,,,Fire and Desire: Mixed-Race Movies in the Silent Era,,"Micheaux Film Corporation,Dunbar Film Corporation",,
Mickey,Arline,Arline Mickey,,,,,,"Children of Fate,A Prince of His Race,Ten Nights in a Bar-Room ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Milburn,I,I Milburn,,,,Sampson lists him as head of Paragon Pictures. --MP,,,,,,Blacks in Black and White,,Paragon Pictures,,
Miles,Viola,Viola Miles,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Miller,Mrs. Irvin C.,Mrs. Irvin C. Miller,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Miller,Walt,Walt Miller,,,,,,,,,,,,,,
Miller,Fournoy E.,Fournoy E. Miller,,,,,,"Harlem Rides The Range,Harlem Knights,Harlem Mania",,,,Blacks in Black and White,,,,
Mills,Billy,Billy Mills,,,,,,The Love Bug,,,,Oscar Micheaux and His Circle,,Billy Mills Stock Company,,
Mills,Jerry,Jerry Mills,,,,,,The Grafter and the Maid,,,,The Ambitions of William Foster,The Grafter and the Maid,,Pekin Stock Company,
Mills,Gertrude,Gertrude Mills,,,,,,Shadowed by the Devil,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Milton,William,William Milton,,,,,,Smiling Hate,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Miner,Leigh Richmond,Leigh Richmond Miner,,1864,1935,"See also ""MOVING PICTURE STORY."" Afro-American (1893-1988), Jul 26, 1913. 7",out (4).pdf (https://dl.airtable.com/FyPYSG29Tx2q9Bs6KHHI_out%20(4).pdf),Cephas Returns,John Henry at Hampton: A Kind of Student Who Makes Good,"The New Era,Cephas Returns","John Henry at Hampton: A Kind of Student Who Makes Good,Making Negro Lives Count",Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Mines,Callie,Callie Mines,,,,,,Birthright,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Mitchell,Abbie,Abbie Mitchell,,,,,,"Uncle Remus' First Visit to New York,Eyes of Youth",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,Lafayette Players,
Mitchell,Dora,Dora Mitchell,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Mitchell,Dolores L. ,Dolores L.  Mitchell,,,,Screenplay and scenario for The Ten Thousand Dollar Trail ,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",The $10000 Trail,,,
Mix,Victor,Victor Mix,Victor Nix,,,,,The Greatest Sin,,,,"Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Molyneaux,, Molyneaux,,,,,,,,,,,,,,
Monagas,Lionel,Lionel Monagas,,,,,,The Millionaire,,,,Slow Fade to Black,,,,
Montgomery,Frank,Frank Montgomery,,,,,,Aladdin Jones,,Love and Undertakers,,,,,,
Moore,W.H.A.,W.H.A. Moore,,,,,,,,,,The Ambitions of William Foster,The Fall Guy,,,
Moore,Edward,Edward Moore,,,,,,Ten Nights in a Bar-Room ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Moore,Charles,Charles Moore,"Charlie, Chas",4/23/1893,7/20/1947,,,"A Daughter of the Congo,The Homesteader,The Exile",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,Lafayette Players,
Moore,Tim,Tim Moore,,,,"Box 4, Boy What a Girl folder, GPJ collection --MP

GPJ Collection, Box 19, His Great Chance Folder. --MP",,"Boy What a Girl,His Great Chance",,,,George P. Johnson Negro Film Collection,,,,
Moore,Gertrude,Gertrude Moore,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,,
Moore,Judy,Judy Moore,,,,,,The Grafter and the Maid,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Moralis,Bertie,Bertie Moralis,,,,,,The Janitor,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,,
Mordecai,Jimmy,Jimmy Mordecai,,,,,,St. Louis Blues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Moreland,Mantan,Mantan Moreland,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Morr,, Morr,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Morrell,Stanley,Stanley Morrell,,,,,,The Exile,,,,George P. Johnson Negro Film Collection,,,,
Morris,Webb,Webb Morris,,,,,,,,Unknown (Jesus as a man of color),,Envisioning Freedom: Cinema and the Building of Modern Black Life,,,,
Morris,Mae,Mae Morris,,,,,,Why Worry?,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,
Morrow,Guernsey,Guernsey Morrow,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Morton,Edna,Edna Morton,Edna Motton,,,,,"The Secret Sorrow,Spitfire,The Schemers,The Sport of the Gods,The Jazz Hounds,The Call of His People,The Burden of Race,The Simp,Easy Money,A Son of Satan,Uncle Remus' First Visit to New York",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Moses,Lucia Lynn,Lucia Lynn Moses,,,,,,The Scar of Shame,,,,Slow Fade to Black,,,,
Moses,Ethel,Ethel Moses,,,,,,Temptation,,,,Slow Fade to Black,,,,
Mosley,Thomas M.,Thomas M. Mosley,,,,,,The Colored American Winning His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Moss,Arthur G.,Arthur G. Moss,A Couple of Blackbirds,,,"One-half of comedy duo Moss & Fry, AKA A Couple of Blackbirds.

Jackson, J. A. (1923, Oct 19). ""HOW HIGH IS UP"" IS NEWEST FILM. Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530555637?accountid=14512",out.pdf (https://dl.airtable.com/0g1GkMAGRRiZVkQkAxaQ_out.pdf),How High Is Up?,,,,,,,,
Mummery,William,William Mummery,,,,"According to Sampson, was treasurer of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,,
Murphy,Bert,Bert Murphy,,,,,,"Are Working Girls Safe?,Aladdin Jones,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,Ghosts,Good Luck in Old Clothes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Murphy,Dudley,Dudley Murphy,,,,,,,St. Louis Blues,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Muse,Clarence,Clarence Muse,,1/7/1889,,"Producer (per Caddoo)

General director of Delsarte Film Corp., per GPJ Collection --MP",,"The Custard Nine,Toussaint L'Ouverture,Heart of Dixie",Toussaint L'Ouverture,Toussaint L'Ouverture,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,Blacks in Black and White,George P. Johnson Negro Film Collection",The Sport of the Gods,Delsarte Film Corporation,Lafayette Players,
Nalpas,Alex,Alex Nalpas,,,,,,,,The Revue des Revues,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Nelson,Howard,Howard Nelson,,,,,,Nobody's Children,,,,Blacks in Black and White,,,,
Newsome,Nora,Nora Newsome,,,,,,The Exile,,,,George P. Johnson Negro Film Collection,,,,
Nicholson,Calvin,Calvin Nicholson,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Noble,John W.,John W. Noble,,,,,,,The Birth of a Race,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Noisette,Katherine,Katherine Noisette,,,4/16/1935,,,"The Wages of Sin,A Daughter of the Congo,When Men Betray,The Exile",,,,George P. Johnson Negro Film Collection,,,,
Nolan,K.D.,K.D. Nolan,,,,,,Come Back,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Nolan,Kid,Kid Nolan,,,,"Lightweight boxing champion

Possibly the same as K.D. Nolan?",,"A Regeneration of Souls,Shoot 'Em Up Sam,The Comeback",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Norcom,Alfred,Alfred Norcom,,,,,,"Regeneration,Black Gold",,,,Oscar Micheaux and His Circle,,,,
Norman,Richard E.,Richard E. Norman,,7/13/1891,11/7/1960,"Producer, Director
Richard E. Normon and Race Filmmaking Collection, 1912-1997. Finding aid: http://webapp1.dlib.indiana.edu/findingaids/view?docId=VAC1152.xml&brand=general&startDoc=21

",,,"Black Gold,The Flying Ace,Regeneration,The Crimson Skull,The Bull-Dogger,The Love Bug,Sleepy Sam the Sleuth","The Flying Ace,The Love Bug,The Crimson Skull,The Bull-Dogger,Black Gold,Regeneration,Sleepy Sam the Sleuth",,"Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Richard E. Norman and Race Filmmaking,""Richard E. Normon and Race Filmmaking Collection, 1912-1997""",,Norman Film Manufacturing Company,,
Norris,J.T.,J.T. Norris,,,,Treasurer of Democracy (Sampson 60).,,,,,,Blacks in Black and White,,Democracy Photoplay Corporation,,
Offeman,Emil,Emil Offeman,,,,"Shareholder in Reol Productions, per Peterson. --MP",,,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,Reol Productions Corporation,,
Oschmann,George,George Oschmann,,,,Recordist ,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",St. Louis Blues,,,
Ovey,George,George Ovey,,,,,,Dark and Cloudy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Owens,Virgel,Virgel Owens,Virgil Owens,,,,,Absent,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Palmer,Harry,Harry Palmer,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Parker,Fred,Fred Parker,,,,,,A Chocolate Cowboy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Parks,Jason,Jason Parks,,,,"Art director for McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,,
Parlam,Florence,Florence Parlam,,,,,,Peacock News Reel #2,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Patrick,E.,E. Patrick,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Patterson,Marguerite,Marguerite Patterson,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
